person,personLabel,enwiki,positionLabel,parliamentaryGroupLabel
http://www.wikidata.org/entity/Q75838900,Susan Murray,https://en.wikipedia.org/wiki/Susan_Murray,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q76450672,Tahir Ali,https://en.wikipedia.org/wiki/Tahir_Ali,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q76364051,Taiwo Owatemi,https://en.wikipedia.org/wiki/Taiwo_Owatemi,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q30169287,Tan Dhesi,https://en.wikipedia.org/wiki/Tan_Dhesi,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126852320,Terry Jermy,https://en.wikipedia.org/wiki/Terry_Jermy,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q578772,Tessa Munt,https://en.wikipedia.org/wiki/Tessa_Munt,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q304251,Tim Farron,https://en.wikipedia.org/wiki/Tim_Farron,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126850616,Tim Roca,https://en.wikipedia.org/wiki/Tim_Roca,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q575462,Toby Perkins,https://en.wikipedia.org/wiki/Toby_Perkins,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126853272,Tom Collins,https://en.wikipedia.org/wiki/Tom_Collins_(politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q75839031,Tom Gordon,https://en.wikipedia.org/wiki/Tom_Gordon_(British_politician),member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126848109,Tom Hayes,https://en.wikipedia.org/wiki/Tom_Hayes_(British_politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q75838983,Tom Morrison,https://en.wikipedia.org/wiki/Tom_Morrison_(British_politician),member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126849322,Tom Rutland,https://en.wikipedia.org/wiki/Tom_Rutland,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q20648385,Tom Tugendhat,https://en.wikipedia.org/wiki/Tom_Tugendhat,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q126849577,Tony Vaughan,https://en.wikipedia.org/wiki/Tony_Vaughan_(politician),member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q108790241,Torcuil Crichton,https://en.wikipedia.org/wiki/Torcuil_Crichton,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q115152867,Torsten Bell,https://en.wikipedia.org/wiki/Torsten_Bell,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126849339,Tracy Gilbert,https://en.wikipedia.org/wiki/Tracy_Gilbert,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126848569,Tris Osborne,https://en.wikipedia.org/wiki/Tris_Osborne,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q7852071,Tulip Siddiq,https://en.wikipedia.org/wiki/Tulip_Siddiq,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q126852519,Uma Kumaran,https://en.wikipedia.org/wiki/Uma_Kumaran,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q266978,Valerie Vaz,https://en.wikipedia.org/wiki/Valerie_Vaz,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q19957802,Vicky Foxcroft,https://en.wikipedia.org/wiki/Vicky_Foxcroft,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q19938362,Victoria Atkins,https://en.wikipedia.org/wiki/Victoria_Atkins,member of the 59th Parliament of the United Kingdom,Conservative Party
http://www.wikidata.org/entity/Q76738170,Victoria Collins,https://en.wikipedia.org/wiki/Victoria_Collins,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q75838701,Vikki Slade,https://en.wikipedia.org/wiki/Vikki_Slade,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q126853260,Warinder Juss,https://en.wikipedia.org/wiki/Warinder_Juss,member of the 59th Parliament of the United Kingdom,Labour Party
http://www.wikidata.org/entity/Q75838898,Wendy Chamberlain,https://en.wikipedia.org/wiki/Wendy_Chamberlain,member of the 59th Parliament of the United Kingdom,Liberal Democrats
http://www.wikidata.org/entity/Q19917814,Wendy Morton,https://en.wikipedia.org/wiki/Wendy_Morton,member of the 59th Parliament of the United Kingdom,Conservative Party
