person,personLabel,enwiki,start,positionLabel,partyLabel
http://www.wikidata.org/entity/Q40979188,Andreas Bleck,https://en.wikipedia.org/wiki/Andreas_Bleck,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q98768,Andreas Jung,https://en.wikipedia.org/wiki/Andreas_Jung,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q15783327,Andreas Lenz,https://en.wikipedia.org/wiki/Andreas_Lenz,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Social Union of Bavaria
http://www.wikidata.org/entity/Q499449,Andreas Mattfeldt,https://en.wikipedia.org/wiki/Andreas_Mattfeldt,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132778578,Andreas Mayer,https://en.wikipedia.org/wiki/Andreas_Mayer_(politician),2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q132733190,Andreas Paul,https://en.wikipedia.org/wiki/Andreas_Paul,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q15434565,Andreas Schwarz,https://en.wikipedia.org/wiki/Andreas_Schwarz,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q529526,Anette Kramme,https://en.wikipedia.org/wiki/Anette_Kramme,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q132733579,Angela Rudzka,https://en.wikipedia.org/wiki/Angela_Rudzka,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q19834635,Angelika Glöckner,https://en.wikipedia.org/wiki/Angelika_Gl%C3%B6ckner,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q15783504,Anja Karliczek,https://en.wikipedia.org/wiki/Anja_Karliczek,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q108705707,Anja Reinalter,https://en.wikipedia.org/wiki/Anja_Reinalter,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q108760347,Anja Troff-Schaffarzyk,https://en.wikipedia.org/wiki/Anja_Troff-Schaffarzyk,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q85773,Anja Weisgerber,https://en.wikipedia.org/wiki/Anja_Weisgerber,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Social Union of Bavaria
http://www.wikidata.org/entity/Q132733481,Anna Aeikens,https://en.wikipedia.org/wiki/Anna_Aeikens,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q85933,Anna Lührmann,https://en.wikipedia.org/wiki/Anna_L%C3%BChrmann,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q132733551,Anna Rathert,https://en.wikipedia.org/wiki/Anna_Rathert,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q564328,Annalena Baerbock,https://en.wikipedia.org/wiki/Annalena_Baerbock,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q108741931,Anne Janssen,https://en.wikipedia.org/wiki/Anne_Janssen,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q108756922,Anne König,https://en.wikipedia.org/wiki/Anne_K%C3%B6nig,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132733617,Anne Zerr,https://en.wikipedia.org/wiki/Anne_Zerr_(German_politician),2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q132733497,Anne-Mieke Bremer,https://en.wikipedia.org/wiki/Anne-Mieke_Bremer,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q108714556,Annika Klose,https://en.wikipedia.org/wiki/Annika_Klose,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q569717,Ansgar Heveling,https://en.wikipedia.org/wiki/Ansgar_Heveling,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q103519,Anton Hofreiter,https://en.wikipedia.org/wiki/Anton_Hofreiter,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q108708654,Armand Zorn,https://en.wikipedia.org/wiki/Armand_Zorn,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q108756255,Armin Grau,https://en.wikipedia.org/wiki/Armin_Grau,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q78205,Armin Laschet,https://en.wikipedia.org/wiki/Armin_Laschet,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132732362,Arne Raue,https://en.wikipedia.org/wiki/Arne_Raue,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q122011,Artur Auernhammer,https://en.wikipedia.org/wiki/Artur_Auernhammer,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Social Union of Bavaria
http://www.wikidata.org/entity/Q15784254,Astrid Timmermann-Fechter,https://en.wikipedia.org/wiki/Astrid_Timmermann-Fechter,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q54821874,Ates Gürpinar,https://en.wikipedia.org/wiki/Ates_G%C3%BCrpinar,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q108177929,Awet Tesfaiesus,https://en.wikipedia.org/wiki/Awet_Tesfaiesus,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q792225,Axel Knoerig,https://en.wikipedia.org/wiki/Axel_Knoerig,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q40998023,Axel Müller,https://en.wikipedia.org/wiki/Axel_M%C3%BCller_(politician),2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q792859,Aydan Özoğuz,https://en.wikipedia.org/wiki/Aydan_%C3%96zo%C4%9Fuz,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q60675728,Ayşe Aşar,https://en.wikipedia.org/wiki/Ayse_Asar,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q132733516,Bastian Ernst,https://en.wikipedia.org/wiki/Bastian_Ernst,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q132733604,Bastian Treuheit,https://en.wikipedia.org/wiki/Bastian_Treuheit,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q14924803,Beatrix von Storch,https://en.wikipedia.org/wiki/Beatrix_von_Storch,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q132733503,Benedikt Büdenbender,https://en.wikipedia.org/wiki/Benedikt_B%C3%BCdenbender,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q19362177,Bernd Baumann,https://en.wikipedia.org/wiki/Bernd_Baumann,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q15792620,Bernd Rützel,https://en.wikipedia.org/wiki/Bernd_R%C3%BCtzel,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q108757996,Bernd Schattner,https://en.wikipedia.org/wiki/Bernd_Schattner,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q132733592,Bernd Schuhmann,https://en.wikipedia.org/wiki/Bernd_Schuhmann,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q832631,Bettina Hagedorn,https://en.wikipedia.org/wiki/Bettina_Hagedorn,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q108708650,Bettina Lugk,https://en.wikipedia.org/wiki/Bettina_Lugk,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q18221329,Birgit Bessin,https://en.wikipedia.org/wiki/Birgit_Bessin,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q40998580,Björn Simon,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Simon,2025-03-25T00:00:00Z,member of the German Bundestag,Christian Democratic Union
http://www.wikidata.org/entity/Q40998580,Björn Simon,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Simon,2025-03-25T00:00:00Z,member of the German Bundestag,Young Union
http://www.wikidata.org/entity/Q104678,Bodo Ramelow,https://en.wikipedia.org/wiki/Bodo_Ramelow,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q132733522,Boris Gamanov,https://en.wikipedia.org/wiki/Boris_Gamanov,2025-03-25T00:00:00Z,member of the German Bundestag,Alternative for Germany
http://www.wikidata.org/entity/Q108737820,Boris Mijatovic,https://en.wikipedia.org/wiki/Boris_Mijatovi%C4%87_(politician),2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q893758,Boris Pistorius,https://en.wikipedia.org/wiki/Boris_Pistorius,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q920726,Britta Haßelmann,https://en.wikipedia.org/wiki/Britta_Ha%C3%9Felmann,2025-03-25T00:00:00Z,member of the German Bundestag,Alliance '90/The Greens
http://www.wikidata.org/entity/Q1019016,Bärbel Bas,https://en.wikipedia.org/wiki/B%C3%A4rbel_Bas,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q1019029,Bärbel Kofler,https://en.wikipedia.org/wiki/B%C3%A4rbel_Kofler,2025-03-25T00:00:00Z,member of the German Bundestag,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q132733544,Cansin Köktürk,https://en.wikipedia.org/wiki/Cans%C4%B1n_K%C3%B6kt%C3%BCrk,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
http://www.wikidata.org/entity/Q1033657,Cansu Özdemir,https://en.wikipedia.org/wiki/Cansu_%C3%96zdemir,2025-03-25T00:00:00Z,member of the German Bundestag,Die Linke
