title,n_v02,n_v01,sim_mean,sim_median,sim_max,sim_p90
jerry colonna (entertainer),74,12,0.5010603070259094,0.5105869770050049,0.8380092978477478,0.6490882635116577
jerry coyne,122,89,0.5541529059410095,0.5447933673858643,0.9920704960823059,0.7316299676895142
jerry heil,158,100,0.5758678913116455,0.5780842900276184,0.9956625699996948,0.7017286419868469
jerry kill,161,19,0.5602351427078247,0.5585365891456604,0.8577501773834229,0.6944108009338379
jerry sheindlin,63,3,0.5789502263069153,0.5828369855880737,0.9054237008094788,0.7175905704498291
jerry was a race car driver,96,4,0.5149554014205933,0.5181231498718262,0.864059567451477,0.7129931449890137
jerry williams (singer),124,86,0.5520498752593994,0.5459797382354736,0.9927161335945129,0.71011883020401
jerryd bayless,161,20,0.5604045391082764,0.5643709897994995,0.8852759599685669,0.7173338532447815
jersey cricket team,194,16,0.5543823838233948,0.5534026026725769,0.8859450221061707,0.7000406384468079
jersey shore,287,192,0.4746815264225006,0.4628693461418152,0.996941328048706,0.6269850134849548
jess cliffe,56,41,0.5667280554771423,0.5862858295440674,0.9942443370819092,0.8236379027366638
jess conrad,73,7,0.489515095949173,0.49130332469940186,0.8056951761245728,0.622359573841095
jess moskaluke,139,6,0.6069625020027161,0.599449098110199,0.8612936735153198,0.7212494611740112
jess sims,73,1,0.42860057950019836,0.42345207929611206,0.5394904017448425,0.48870769143104553
jesse carmichael,83,12,0.47058606147766113,0.46985578536987305,0.7995777726173401,0.6368227005004883
jesse f. keeler,160,2,0.47828060388565063,0.4636678099632263,0.8957169055938721,0.6304556727409363
jesse glover,55,2,0.5840355157852173,0.5851946473121643,0.851413369178772,0.671833336353302
jesse robredo,131,84,0.5519599914550781,0.5568891167640686,0.9966086149215698,0.726409912109375
jessica cambensy,41,1,0.6187757849693298,0.6057306528091431,0.8766810894012451,0.7245289087295532
jessica elbaum,96,66,0.5279790163040161,0.5199141502380371,0.9918690919876099,0.7250140309333801
jessica fox (actress),68,3,0.5547332167625427,0.5380882024765015,0.8182699680328369,0.7167866230010986
jessica harper,94,7,0.44149234890937805,0.43440598249435425,0.8171436786651611,0.5780283212661743
jessica howard,91,64,0.5725495219230652,0.5794205069541931,0.9950011372566223,0.7599461674690247
jessica jaymes,59,4,0.5867171287536621,0.5910665988922119,0.8737548589706421,0.6948735117912292
jessica jones,142,91,0.5071078538894653,0.504525899887085,0.8485499620437622,0.6208797097206116
jessica rabbit,121,20,0.5451765060424805,0.5421236753463745,0.8437833786010742,0.6612899899482727
jessica yaniv,150,101,0.630908727645874,0.6261298060417175,0.9960438013076782,0.7826999425888062
jessica yellin,119,89,0.6161214709281921,0.60795658826828,0.9936477541923523,0.761558473110199
jessicka havok,127,51,0.565635621547699,0.5710419416427612,0.8796557188034058,0.6863232254981995
jessie benton frémont,134,107,0.5661692023277283,0.5645079016685486,0.9967360496520996,0.7196203470230103
jessie lawrence ferguson,36,2,0.6156703233718872,0.6237889528274536,0.8835303783416748,0.7275146842002869
jessika cowart,75,9,0.6347247362136841,0.6285176277160645,0.9148508310317993,0.7824121713638306
jessops,103,19,0.5279406309127808,0.535272479057312,0.9062381982803345,0.6609561443328857
jessy schram,66,5,0.4815351068973541,0.49676844477653503,0.8551691770553589,0.6456536054611206
jesus christ pose,111,83,0.5932828783988953,0.6028679609298706,0.9955421686172485,0.7552948594093323
jesus christ superstar (film),165,124,0.5420335531234741,0.5418552160263062,0.9963801503181458,0.6838710308074951
jesus christians,204,163,0.5057011246681213,0.5011312365531921,0.9942639470100403,0.6704854965209961
jesus crispin remulla,146,88,0.5943654179573059,0.5813829302787781,0.9963370561599731,0.7362627387046814
jesus is king,179,117,0.5920130610466003,0.5912957191467285,0.9928009510040283,0.719944953918457
jesus jones,107,18,0.4869678318500519,0.50426185131073,0.8635878562927246,0.6218239665031433
jesus music,103,78,0.5917727947235107,0.5918351411819458,0.994432270526886,0.7281598448753357
jesús castro (actor),71,3,0.5576597452163696,0.5515097379684448,0.8413617610931396,0.6834254264831543
jet,218,148,0.3292945325374603,0.3130384683609009,0.9958693981170654,0.5022478103637695
jet bridge,119,8,0.5013375878334045,0.5391818881034851,0.8153257966041565,0.6523362398147583
jet harris,120,18,0.5233063697814941,0.5185474753379822,0.8733347058296204,0.668992817401886
jet moto 3,69,7,0.61139976978302,0.6210849285125732,0.878715991973877,0.7385504841804504
jet pack,222,63,0.48749586939811707,0.48583629727363586,0.7971115112304688,0.6146520376205444
jet trainer,125,3,0.5819657444953918,0.5894163846969604,0.8707802295684814,0.6963886022567749
jet2holidays,125,9,0.5675340294837952,0.5805623531341553,0.8634500503540039,0.6820434927940369
jeter downs,70,20,0.6198523640632629,0.6158190965652466,0.9028392434120178,0.778398871421814
jethro pugh,80,10,0.6139714121818542,0.6173163652420044,0.9113911986351013,0.7675926685333252
jetix europe,109,35,0.5689272880554199,0.5695891380310059,0.8913175463676453,0.713045597076416
jett klyne,58,2,0.578741192817688,0.5583072900772095,0.8981753587722778,0.7081012725830078
jett woo,70,3,0.6748782396316528,0.6771186590194702,0.907911479473114,0.7894372344017029
jew (word),117,87,0.5757685303688049,0.5704936981201172,0.9962705373764038,0.7257943153381348
jewel mary,68,2,0.570140540599823,0.5685930252075195,0.8580850958824158,0.7329953908920288
jewel tower,74,51,0.5643662810325623,0.5614142417907715,0.8820416927337646,0.6908274292945862
jewish exodus from the muslim world,357,269,0.5293289422988892,0.5294723510742188,0.9950113892555237,0.6745782494544983
jewish military history,358,259,0.3870638906955719,0.3680011034011841,0.9964278936386108,0.5464551448822021
jewish question,211,156,0.42133665084838867,0.40157973766326904,0.9918275475502014,0.5855992436408997
jewish renewal,166,130,0.6123698353767395,0.61202073097229,0.9959124326705933,0.7442176938056946
jewish territorial organization,127,97,0.5898181200027466,0.5843032002449036,0.9957563877105713,0.7555148005485535
jewish wedding,242,176,0.5981955528259277,0.5927804708480835,0.9964220523834229,0.7146739363670349
jews as the chosen people,156,114,0.5593664050102234,0.5583269000053406,0.9896972179412842,0.7044258713722229
jhatka,120,89,0.6525880694389343,0.6536718606948853,0.996040940284729,0.8036396503448486
jhc fs aldergrove,135,97,0.578466534614563,0.5869582891464233,0.9965307712554932,0.7360684275627136
jhené aiko discography,140,6,0.42018207907676697,0.4112159013748169,0.737878680229187,0.5401861071586609
jhs pedals,128,92,0.6008552312850952,0.5915285348892212,0.9930618405342102,0.7174404263496399
jhumpa lahiri,164,108,0.5393970012664795,0.5229212641716003,0.9942325353622437,0.7077544331550598
ji jin-hee,117,71,0.5222727656364441,0.5182784795761108,0.9962140917778015,0.649865448474884
ji yeon,105,1,0.44234564900398254,0.42446374893188477,0.9195327162742615,0.5356645584106445
